prog.name, recombinations
529LxSC_P10_A9_146,14
529LxSC_P11_A10_162,10
529LxSC_P12_A11_178,15
529LxSC_P13_A12_194,5
529LxSC_P14_B1_116,11
529LxSC_P15_B2_132,15
529LxSC_P20_B7_116,12
529LxSC_P22_B9_148,9
529LxSC_P23_B10_164,14
529LxSC_P24_B11_180,53
529LxSC_P26_C1_118,19
529LxSC_P2_A1_114,13
529LxSC_P32_C7_118,12
529LxSC_P33_C8_134,11
529LxSC_P35_C10_166,51
529LxSC_P36_C11_182,5
529LxSC_P37_C12_198,39
529LxSC_P39_D2_136,34
529LxSC_P40_D3_152,12
529LxSC_P41_D4_168,30
529LxSC_P44_D7_120,16
529LxSC_P46_D9_152,57
529LxSC_P48_D11_184,44
529LxSC_P49_D12_200,46
529LxSC_P52_E3_154,10
529LxSC_P53_E4_170,10
529LxSC_P57_E8_138,15
529LxSC_P59_E10_170,20
529LxSC_P62_F1_124,42
529LxSC_P66_F5_188,9
529LxSC_P68_F7_124,15
529LxSC_P72_F11_188,45
529LxSC_P73_F12_204,16
529LxSC_P74_G1_126,5
529LxSC_P81_G8_142,10
529LxSC_P82_G9_158,5
529LxSC_P83_G10_174,45
529LxSC_P84_G11_190,35
529LxSC_P85_G12_206,11
529LxSC_P8_A7_114,17
Mixed_Plate_S119_130,1
Mixed_Plate_S378_132,17
Mixed_Plate_S441_138,9
Mixed_Plate_S442_140,13
Mixed_Plate_S443_142,9
Mixed_Plate_S444_144,84
Mixed_Plate_S445_114,92
Mixed_Plate_S446_116,53
Mixed_Plate_S447_118,18
Mixed_Plate_S448_120,8
Mixed_Plate_S449_122,93
Mixed_Plate_S450_124,85
Mixed_Plate_S451_126,54
Mixed_Plate_S452_128,7
Mixed_Plate_S453_194,11
Mixed_Plate_S454_196,14
Mixed_Plate_S457_200,12
Mixed_Plate_S458_202,5
Mixed_Plate_S459_204,4
Mixed_Plate_S461_206,96
Mixed_Plate_S462_208,72
Mixed_Plate_S463_178,95
Mixed_Plate_S464_180,18
Mixed_Plate_S465_182,84
Mixed_Plate_S466_184,25
Mixed_Plate_S467_186,12
Mixed_Plate_S468_188,76
Mixed_Plate_S470_190,76
Mixed_Plate_S471_192,15
Mixed_Plate_S472_162,4
Mixed_Plate_S473_134,12
Mixed_Plate_S473_164,14
Mixed_Plate_S477_168,57
Mixed_Plate_S480_170,77
Mixed_Plate_S481_172,80
